,,accuracy,accuracy,latency_ms,explainability_score,failure_rate,avg_confidence
,,mean,std,mean,mean,mean,mean
dataset,architecture,,,,,,
Adult_Income,Concurrency,0.8709,0.0069,0.0056,3.0,0.0,0.9388
Adult_Income,SemiSymbolic,0.8689,0.0066,0.0012,2.4,0.0,0.6
Credit_Card_Fraud,Concurrency,0.9846,0.0047,0.0055,3.0,0.0,0.9955
Credit_Card_Fraud,SemiSymbolic,0.9844,0.0042,0.0012,2.4,0.0,0.6
HighDep_LowAmb,Concurrency,0.9458,0.0096,0.0057,3.0,0.0,0.9289
HighDep_LowAmb,SemiSymbolic,0.9472,0.015,0.0013,2.4,0.0,0.6
LowDep_HighAmb,Concurrency,0.708,0.0327,0.005,3.0,0.0,0.6976
LowDep_HighAmb,SemiSymbolic,0.6995,0.0296,0.0012,2.4,0.0,0.6
MNIST,Concurrency,0.9716,0.0042,0.0079,3.0,0.0,0.5129
MNIST,SemiSymbolic,0.9696,0.0039,0.0014,2.4,0.0,0.6
Medium_Balanced,Concurrency,0.8408,0.0242,0.0058,3.0,0.0,0.8822
Medium_Balanced,SemiSymbolic,0.8332,0.0212,0.0011,2.4,0.0,0.6
NSL_KDD,Concurrency,0.8101,0.0109,0.0061,3.0,0.0,0.4617
NSL_KDD,SemiSymbolic,0.8119,0.0109,0.0012,2.4,0.0,0.6
UCI_Heart_Disease,Concurrency,0.7867,0.0494,0.0058,3.0,0.0,0.8616
UCI_Heart_Disease,SemiSymbolic,0.8008,0.046,0.001,2.4,0.0,0.6
